|none.wav|0|Single
meshif_act2_q6_after|act2\meshif\mes_act2_q6_after.wav|4181|Single
regurgitator_neutral_3|monster\regurgitator\neutral3.wav|1597|Single
paladin_not_in_town_2|common\paladin\pal_notintown.wav|3194|Single
bloodlord_neutral_2|none.wav|610|Single
zombie_attack_5|monster\zombie\attack5.wav|2207|Single
drognan_act2_q4_early|act2\drognan\dro_act2_q4_early.wav|3804|Single
leaper_leap_2|monster\leaper\attacklong2.wav|1220|Single
heavy_walk_dirt_2|ambient\footstep\HeavyDirt2.wav|2817|Single
item_monsterguts|item\monsterguts.wav|233|Single
anya_act5_q5_after|Act5\Anya\any_act5_q5_after.wav|4414|Single
spider_web_1|monster\spider\goo01.wav|1830|Group:6
druid_not_in_town_1|common\druid\dru_nothere.wav|3427|Group:2
druidwerebear_neutral_2|monster\werebear\neutral02.wav|843|Single
sorceress_shiverarmor|skill\sorceress\shivers.wav|2440|Single
ironwolf_immediately|act3\ironwolf\iron_immediately.wav|4037|Single
pinhead_attack_4|monster\pinhead\attack4.wav|1453|Single
barbarian_act1_find_tower|act1\barbarian\bar_act1_entry_forgottentower.wav|3050|Single
baal_deathhead_3|monster\baal\head3.wav|466|Single
monster_radament_taunt_1|act2\monster\radamenttaunt1.wav|4647|Group:2
vilemother_death_3|monster\vilemother\death3.wav|2063|Single
cain_act1_q4_rescued_hero|act1\cain\cain_act1_q4_rescuedbyhero.wav|3660|Single
golemfire_death|monster\golemfire\firegolemdeath.wav|1076|Single
shrine_refill|object\shrine\refill.wav|2673|Single
event_cave_3|ambient\event\drip3.wav|89|Single
ormus_act3_q1_success|act3\ormus\orm_act3_q3_successful.wav|4270|Single
sandraider_attack_4|monster\sandraider\attack4.wav|1686|Single
sorceress_act1_find_monastery|act1\sorceress\sor_act1_entry_monastery.wav|3283|Single
countess_hit_2|monster\countess\gethit2.wav|699|Single
assassin_chargeup_thunder_3|none.wav|2296|Single
geglash_act2_gossip_8|act2\geglash\geg_act2_gossip_08.wav|3893|Single
minion_death_a2|monster\minion\deathA2.wav|1309|Single
barbarian_hit_5|combat\player\barbarian\hard3.wav|2906|Single
impact_punch_2|combat\impact\blow2.wav|322|Single
malah_act5_gossip_8|Act5\Malah\mal_act5_08.wav|4503|Single
tentacle_hit_1|monster\tentacle\gethit1.wav|1919|Group:4
akara_act1_q4_success|act1\akara\aka_act1_q4_successful.wav|3516|Single
fallenshaman_death_3|monster\fallenshaman\death3.wav|932|Single
barbarian_warcry_3|skill\barbarian\warcry3.wav|2529|Single
lysander_act2_gossip_1|act2\lysander\lys_act2_gossip_01.wav|4126|Single
pygmyshaman_neutral_6|monster\pygmyshaman\neutral6.wav|1542|Single
necromancer_act2_find_arcane|act2\necromancer\nec_act2_entry_arcanesanctuary.wav|3139|Single
bighead_attack_1|monster\bighead\attack1.wav|555|Group:4
yeti_death_3|monster\yeti\death3.wav|2152|Single
charsi_act1_gossip_4|act1\charsi\cha_act1_gossip_04.wav|3749|Single
hawknest_death_3|monster\hawknest\death3.wav|1165|Single
light_run_snow_3|ambient\footstep\LightSnowRun3.wav|2762|Single
event_town_2_night_2|ambient\event\birdienight5.wav|178|Single
warriv_act2_gossip_2|act2\warriv\war_act2_gossip_02.wav|4359|Single
skeleton_hit_2|monster\skeleton\gethit2.wav|1775|Single
assassin_act2_complete_tombs|act2\assassin\ass_act2_complete_tombs.wav|3372|Single
druidpod_attack_3|monster\druidpod\attack03.wav|788|Single
paladin_holybolt_impact_2|skill\paladin\vengeanceimpact2.wav|2385|Single
greiz_act2_q6_success|act2\griez\gre_act2_q6_successful.wav|3982|Single
overseer_attack_4|monster\overseer\attack4.wav|1398|Single
amazon_act3_complete_lamesen|act3\amazon\ama_act3_complete_lamesentome.wav|2995|Single
explosion_large_2|combat\explosion\explosionlarge4.wav|411|Single
qualkehk_act5_q3_found|Act5\Qual-Kehk\qua_act5_q3_found.wav|4592|Single
undeadhorror_death_4|monster\undeadhorror\death4.wav|2008|Single
asheara_act3_q5_early|act3\asheara\ash_act3_q5_early.wav|3605|Single
frozenhorror_frost_4|none.wav|1021|Single
object_stash_hell_1|object\hellstash1.wav|2618|Single
quest_hellforge_place|object\hellforgeplace.wav|34|Single
narrator_act1_q5_tome|act1\narrator\nar_act1_q5_questtome.wav|4215|Single
sandmaggot_spit_1|monster\sandmaggot\spit1.wav|1631|Group:3
paladin_act3_complete_guardian|act3\paladin\pal_act3_complete_guardiantower.wav|3228|Single
bonefetish_raise|monster\bonefetish\raiseskeleton.wav|644|Single
amazon_eyeofzeus|skill\amazon\eyeofzeus.wav|2241|Single
elzix_act2_q4_early|act2\elzix\elz_act2_q4_early.wav|3838|Single
lightningorb_attack_2|monster\lightningorb\attack2.wav|1254|Single
heavy_run_ostone_4|ambient\footstep\HeavyOStoneRun4.wav|2851|Single
weapon_1hs_small_6|combat\weapon\one hand swing small06.wav|267|Single
larzuk_greeting_2|Act5\Larzuk\lar_goodday.wav|4448|Single
spikefiend_death_3|monster\spikefiend\death3.wav|1864|Single
druid_act3_complete_blade|act3\druid\dru_act3_complete_bladeofoldreligion.wav|3461|Single
duriel_attack_2|monster\duriel\attack2.wav|877|Single
necromancer_reversevampire|skill\necromancer\reversevampire.wav|2474|Single
jerhyn_act2_q4_success|act2\jerhyn\jer_act2_q4_successful.wav|4071|Single
putriddefiler_neutral_2|monster\putriddefiler\neutral2.wav|1487|Single
barbarian_act5_find_mountaintop|act5\barbarian\bar_act5_entry_mountaintop.wav|3084|Single
baaltentacle_appear_1|monster\baaltentacle\appear1.wav|500|Group:4
music_xicecaves|act5\icecaves.wav|4681|Single
vulturedemon_wing_3|monster\vulturedemon\bigflap3.wav|2097|Single
cain_act2_q6_success|act2\cain\cain_act2_q6_successful.wav|3694|Single
greatermummy_death_4|monster\greatermummy\death4.wav|1110|Single
creature_egg_4|ambient\creature\egg4.wav|2707|Single
event_jungle_night_1|ambient\event\junglebeastie1.wav|123|Group:5
tyrael_greeting_2|act4\tyreal\tyr_greetings.wav|4304|Single
scimitar_appear_4|monster\scimitar\appear4.wav|1720|Single
sorceress_act5_find_nihlathak|act5\sorceress\sor_act5_entry_nihlathaksland.wav|3317|Single
diablo_attack_1|monster\diablo\attack1.wav|733|Group:6
druid_boulderexplode_3|skill\druid\explode3.wav|2330|Single
gheed_act1_intro|act1\gheed\ghe_act1_intro.wav|3927|Single
moo_hit_2|monster\moo\gethit2.wav|1343|Single
amazon_chat_b_2|common\amazon\ama_comeon.wav|2940|Single
impact_fire_layer_1|combat\impact\singe1.wav|356|Group:3
nihlathak_greeting_time_1|Act5\Nihlathak\nih_bequickaboutit.wav|4537|Single
tentaclehead_missile_1|monster\tentaclehead\goomissile1.wav|1953|Group:4
alkor_act3_q2_success|act3\alkor\alk_act3_q2_successful.wav|3550|Single
firespike_launch_4|none.wav|966|Single
object_door_metal_open|object\doormetalopen.wav|2563|Single
meshif_act2_gossip_3|act2\meshif\mes_act2_gossip_03.wav|4160|Single
reanimatedhorde_neutral_3|monster\reanimatedhorde\neutral3.wav|1576|Single
paladin_chat_b_1|common\paladin\pal_followme.wav|3173|Group:2
bladecreeper_emerge_1|monster\bladecreeper\throw1.wav|589|Group:3
zakarumpriest_death_4|monster\zakarumpriest\death4.wav|2186|Single
drognan_greeting_time_2|act2\drognan\dro_goodday.wav|3783|Single
ironwolf_death_2|monster\ironwolf\death2.wav|1199|Single
medium_run_istone_1|ambient\footstep\MedIStoneRun1.wav|2796|Group:4
item_cap|item\cap.wav|212|Single
anya_act5_gossip_5|Act5\Anya\any_act5_gossip_05.wav|4393|Single
smith_attack_4|monster\smith\attack4.wav|1809|Single
druid_chat_a_2|common\druid\dru_helpme.wav|3406|Single
druidwolf_attack_1|monster\druidwolf\attack1.wav|822|Group:6
sorceress_fireball_impact_1|skill\sorceress\boom1.wav|2419|Group:3
hratli_act3_q2_success|act3\hratli\hra_act3_q2_successful.wav|4016|Single
overseer_attract_4|monster\overseer\attract4.wav|1432|Single
barbarian_chat_h_1|common\barbarian\bar_runaway.wav|3029|Group:2
andariel_hit_3|monster\andariel\gethit3.wav|445|Single
hireable_male_thanks_2|common\hireables\male_thankyou1.wav|4626|Single
vilechild_death_2|monster\vilechild\death2.wav|2042|Single
atma_act2_q4_success|act2\atma\atm_act2_q4_successful.wav|3639|Single
golemclay_attack_2|monster\golemclay\attack2.wav|1055|Single
object_pendoor|object\pendoor.wav|2652|Single
scene_town_3_day|ambient\scene\town3day.wav|68|Single
ormus_greeting_2|act3\ormus\orm_greetings.wav|4249|Single
sandmaggotegg_neutral_2|monster\sandmaggotegg\neutral2.wav|1665|Single
sorceress_chat_g_2|common\sorceress\sor_timetodie.wav|3262|Single
corrupt_hit_3|monster\corrupt\gethit3.wav|678|Single
amazon_valkyrie_cast|skill\amazon\valkyriecast.wav|2275|Single
fara_act2_q4_success|act2\fara\far_act2_q4_successful.wav|3872|Single
mephisto_hit_1|monster\mephisto\gethit1.wav|1288|Group:4
amazon_death_3|none.wav|2885|Single
weapon_staff_4|combat\weapon\staff blunt04.wav|301|Single
larzuk_act5_q5_early|Act5\Larzuk\lar_act5_q5_early.wav|4482|Single
succubus_neutral_5|none.wav|1898|Single
akara_act1_gossip_8|act1\akara\aka_act1_gossip_08.wav|3495|Single
fallen_neutral_5|monster\fallen\neutral5.wav|911|Single
barbarian_grunt_large_1|skill\barbarian\grunt201.wav|2508|Group:3
kashya_act1_q3_early|act1\kashya\kas_act1_q3_early.wav|4105|Single
pygmyshaman_attack_2|monster\pygmyshaman\attack2.wav|1521|Single
necromancer_act1_complete_burial|act1\necromancer\nec_act1_complete_burialground.wav|3118|Single
batdemon_attack_3|monster\batdemon\attack3.wav|534|Single
wraith_hit_5|monster\wraith\gethit5.wav|2131|Single
cain_act4_q1_after|act4\cain\cain_act4_q1_after.wav|3728|Single
hawk_attack_2|monster\hawk\attack2.wav|1144|Single
light_walk_wood_2|ambient\footstep\LightWood2.wav|2741|Single
event_monastery_1|ambient\event\raven1.wav|157|Group:5
warriv_act1_q1_after|act1\warriv\war_act1_q1_after.wav|4338|Single
siegebeast_stomp_1|none.wav|1754|Single
assassin_act1_complete_andariel|act1\assassin\ass_act1_complete_andariel.wav|3351|Single
drognan_read_scroll|monster\npc\drognanreadscroll.wav|767|Single
paladin_aura_purification|skill\paladin\purification.wav|2364|Single
greiz_act2_gossip_5|act2\griez\gre_act2_gossip_05.wav|3961|Single
mummy_attack_2|monster\mummy\attack2.wav|1377|Single
amazon_act1_find_tristram|act1\amazon\ama_act1_find_tristram.wav|2974|Single
impact_stone_3|combat\impact\stone3.wav|390|Single
qualkehk_act5_gossip_2|Act5\Qual-Kehk\qua_act5_02.wav|4571|Single
trappedsoul_up_2|monster\trappedsoul\up2.wav|1987|Single
asheara_act3_gossip_6|act3\asheara\ash_act3_gossip_06.wav|3584|Single
frozenhorror_attack_2|monster\frozenhorror\attack2.wav|1000|Single
object_ratnest_2|object\ratnest2.wav|2597|Single
cursor_identify_item|cursor\identify.wav|13|Single
meshif_act3_intro_bar|act3\meshif\mes_act3_intro_bar.wav|4194|Single
sandmaggot_attack_2|monster\sandmaggot\attack2.wav|1610|Single
paladin_act1_find_tree|act1\paladin\pal_act1_find_treeofinifuss.wav|3207|Single
bonefetish_attack_2|monster\bonefetish\attack2.wav|623|Single
zombie_neutral_2|monster\zombie\neutral2.wav|2220|Single
elzix_greeting_time_2|act2\elzix\elz_goodday.wav|3817|Single
leaper_death_5|monster\leaper\death5.wav|1233|Single
heavy_walk_sand_3|ambient\footstep\HeavySand3.wav|2830|Single
item_sword|item\sword.wav|246|Single
cain_act5_gossip_10|Act5\Cain\cain_act5_10.wav|4427|Single
spider_death_2|monster\spider\death2.wav|1843|Single
druid_act1_find_tower|act1\druid\dru_act1_entry_forgottentower.wav|3440|Single
druidwerebear_morph|none.wav|856|Single
necromancer_bonespirit_2|skill\necromancer\bonespirit2.wav|2453|Single
jerhyn_greeting_2|act2\jerhyn\jer_hello.wav|4050|Single
pinhead_neutral_1|monster\pinhead\neutral1.wav|1466|Group:4
barbarian_act2_find_radament|act2\barbarian\bar_act2_entry_radamentlair.wav|3063|Single
baal_teleport|monster\baal\zappie.wav|479|Single
music_diablo|act4\diablo.wav|4660|Single
vulturedemon_attack_3|monster\vulturedemon\attack3.wav|2076|Single
cain_act2_gossip_2|act2\cain\cain_act2_gossip02.wav|3673|Single
golemiron_hit_4|monster\golemiron\gethit4.wav|1089|Single
creature_bat_5|none.wav|2686|Single
event_desert_day_3|ambient\event\desertinsect7.wav|102|Single
ormus_act3_q5_init|act3\ormus\orm_act3_q5_init.wav|4283|Single
sandraider_neutral_1|monster\sandraider\neutral1.wav|1699|Group:6
sorceress_act2_find_clawviper|act2\sorceress\sor_act2_entry_clawviperlair.wav|3296|Single
deathmauler_hit_2|monster\deathmauler\gethit2.wav|712|Single
assassin_shadow_death_2|skill\assassin\shadowdeath2.wav|2309|Single
geglash_act2_q5_early|act2\geglash\geg_act2_q5_early.wav|3906|Single
minion_morph_3|monster\minion\morph3.wav|1322|Single
assassin_hit_2|combat\player\assassin\gethit16.wav|2919|Single
impact_blade_thrust_1|combat\impact\stab1.wav|335|Group:5
malah_act5_q2_early|Act5\Malah\mal_act5_q2_early.wav|4516|Single
